# concepts clustered: 133

TRACK	BRAND	SCORE%	maxDays	price	grw%	A1	A5	A6	A7	B1	B2	CONCEPT
Evergreen	Macorner	73	255	24.95	517	3	3	1	0	0	3	boss-pain-in-the-asses-funny-boss-gift-personalized-mug-cow
Evergreen	PFG	71	239	24.0	1846	3	1	2	0	0	3	class-of-2025-2026-3d-effect-senior-acrylic-ornament-christm
Evergreen	PFG	71	118	24.0	1846	3	1	2	0	0	3	grandpa-warning-may-nap-suddenly-at-any-time-funny-fathers-d
Evergreen	PFG	71	94	24.0	1846	3	1	2	0	0	3	we-caught-the-best-mom-poster-heartfelt-mothers-day-gift-for
Evergreen	Macorner	71	123	19.95	611	3	1	2	0	0	3	graduation-walking-beside-you-every-step-personalized-lapel-
Evergreen	Macorner	71	61	19.95	521	2	1	3	0	1	3	its-not-a-dad-bod-its-a-father-figure-funny-fathers-day-gift
Evergreen	Macorner	69	4	39.95	517	0	3	2	2	3	3	i-love-your-face-especially-when-its-between-my-legs-naughty
Evergreen	Macorner	69	7	39.95	521	0	3	2	2	3	3	my-favorite-place-in-all-the-world-is-next-to-you-personaliz
Evergreen	PFG	67	54	24.0	1846	1	3	2	0	2	3	together-forever-couple-anniversary-2layered-wooden-plaque-h
Evergreen	PFG	67	47	24.0	1846	1	3	2	0	2	3	besties-forever-pinky-promise-2d-flat-2layered-wooden-plaque
Evergreen	PFG	67	72	27.99	1846	2	2	1	1	1	3	grandpa-fist-bump-nation-flag-classic-cap
Evergreen	PFG	67	47	24.0	1846	1	3	2	0	2	3	interlocked-hearts-couple-2layered-wooden-plaque-gift-for-hi
Evergreen	PFG	67	38	24.0	1846	1	3	2	0	2	3	this-is-my-happy-place-dont-ruin-it-sewing-girl-metal-sign-c
Evergreen	PFG	67	37	24.0	1846	1	3	2	0	2	3	floral-besties-forever-friends-forever-2layered-wooden-plaqu
Evergreen	Macorner	67	25	18.95	159	0	3	3	0	3	3	custom-pet-portrait-watercolor-gifts-for-pet-owners-personal
Evergreen	PFG	64	84	24.0	1846	2	1	2	0	1	3	to-my-son-from-mom-happy-fathers-day-poster
Evergreen	Macorner	64	43	27.95	521	1	3	1	1	2	3	just-a-girl-who-loves-books-personalized-sweatpants-boo
Evergreen	PFG	62	32	22.99	1846	1	2	2	0	2	3	teacher-beautiful-crayon-color-welcome-to-classroom-happy-le
Evergreen	PFG	62	44	24.0	1846	1	2	2	0	2	3	this-is-my-happy-place-metal-sign-funny-sarcasm-decoration-f
Evergreen	Macorner	62	69	29.95	611	2	1	1	1	1	3	fathers-day-gift-father-of-mayhem-personalized-shirt-mas89qf
Evergreen	PFG	60	24	24.0	1846	0	3	2	0	3	3	psnl-babys-first-christmas-on-the-inside-ornament-custom-pre
Evergreen	PFG	60	20	24.0	1846	0	3	2	0	3	3	till-death-do-us-part-skeleton-couple-2layered-wooden-plaque
Evergreen	PFG	60	35	24.0	1846	1	3	1	0	2	3	funny-teacher-life-happy-school-supplies-friends-shirt-back-
Evergreen	PFG	60	18	24.0	1846	0	3	2	0	3	3	love-halloween-couple-til-death-do-us-apart-2layered-wooden-
Evergreen	Macorner	60	8	32.95	517	0	2	2	1	3	3	ill-be-in-the-backyard-gift-for-him-travel-leather-case-with
Evergreen	PFG	58	72	24.0	1846	2	1	1	0	1	3	to-my-son-from-mom-happy-fathers-day-back-view-mug
Evergreen	PFG	58	21	24.0	1846	0	1	3	0	3	3	this-grandma-loves-her-herd-fall-season-shirt-cozy-autumn-te
Evergreen	PFG	58	12	24.0	1846	0	1	3	0	3	3	grandmas-boo-crew-pumpkin-patch-2layered-wooden-plaque-hallo
Evergreen	PFG	58	41	24.0	1846	1	1	2	0	2	3	hello-summer-vibe-welcome-to-grandma-grandpa-house-doormat-g
Evergreen	Macorner	58	19	29.95	517	0	3	1	1	3	3	i-fix-sht-thats-what-i-do-funny-gifts-for-men-husband-dad-gr
Evergreen	PFG	56	28	24.0	1846	0	2	2	0	3	3	soccer-trendy-design-backpack-for-boys-girls-backpack-back-t
Evergreen	PFG	56	12	24.0	1846	0	2	2	0	3	3	colorful-world-when-you-enter-this-classroom-poster-back-to-
Evergreen	PFG	53	19	24.95	840	0	3	1	0	3	3	personalized-legend-husband-dad-grandpa-since-fathers-day-sh
Evergreen	PFG	53	12	22.99	1846	0	3	1	0	3	3	spooky-cat-mom-shirt-halloween-gift-for-cat-moms-wife
Evergreen	PFG	51	27	24.0	1846	0	1	2	0	3	3	halloween-welcome-to-grandma-grandpa-haunted-house-cute-boo-
Evergreen	PFG	51	18	24.0	1846	0	1	2	0	3	3	hello-fall-grandmas-pumpkin-patch-2layered-wooden-plaque-coz
Evergreen	PFG	51	22	24.0	1846	0	1	2	0	3	3	cozy-warm-fall-season-vibe-little-pumpkins-welcome-to-grandm
Evergreen	PFG	51	36	24.99	1846	1	1	1	0	2	3	grandmas-boo-crew-halloween-haunted-house-shirt-gift-for-gra
Evergreen	PFG	51	12	24.0	1846	0	1	2	0	3	3	grandmas-pumpkin-patch-scarecrow-2layered-wooden-plaque-hall
Evergreen	PFG	49	20	24.0	840	0	2	1	0	3	3	firework-america-flag-grandma-and-kids-t-shirt
Evergreen	PFG	44	20	24.0	840	0	1	1	0	3	3	mimi-patriotic-shirt-american-flag-heart-mimi-t-shirt-for-wo
Evergreen	PFG	44	22	24.0	1846	0	1	1	0	3	3	leopard-style-teacher-life-shirt-back-to-school-gift-for-tea
Trending	Macorner	87	20	31.95	159	0	3	3	1	3	3	custom-pet-portrait-name-watercolor-style-personalized-jewel
