# concepts clustered: 133

TRACK	BRAND	SCORE%	maxDays	price	#activeCreatives	A1	A4	A5	A6	A7	B1	B2	CONCEPT
Evergreen	PFG	51	17	24.0	1	0	1	3	2	0	3	0	love-halloween-couple-til-death-do-us-apart-2layered-wooden-
Evergreen	Macorner	51	7	32.95	1	0	1	2	2	1	3	0	ill-be-in-the-backyard-gift-for-him-travel-leather-case-with
Evergreen	PFG	49	20	24.0	1	0	1	1	3	0	3	0	this-grandma-loves-her-herd-fall-season-shirt-cozy-autumn-te
Evergreen	PFG	49	11	24.0	1	0	1	1	3	0	3	0	grandmas-boo-crew-pumpkin-patch-2layered-wooden-plaque-hallo
Evergreen	PFG	49	19	24.0	6	0	3	2	1	0	3	2	firework-america-flag-grandma-and-kids-t-shirt
Evergreen	PFG	49	40	24.0	1	1	1	1	2	0	2	0	hello-summer-vibe-welcome-to-grandma-grandpa-house-doormat-g
Evergreen	PFG	47	27	24.0	1	0	1	2	2	0	3	0	soccer-trendy-design-backpack-for-boys-girls-backpack-back-t
Evergreen	PFG	47	35	24.99	3	1	2	1	1	0	2	1	grandmas-boo-crew-halloween-haunted-house-shirt-gift-for-gra
Evergreen	PFG	47	11	24.0	1	0	1	2	2	0	3	0	colorful-world-when-you-enter-this-classroom-poster-back-to-
Evergreen	PFG	44	18	24.95	1	0	1	3	1	0	3	0	personalized-legend-husband-dad-grandpa-since-fathers-day-sh
Evergreen	PFG	44	11	22.99	1	0	1	3	1	0	3	0	spooky-cat-mom-shirt-halloween-gift-for-cat-moms-wife
Evergreen	PFG	42	26	24.0	1	0	1	1	2	0	3	0	halloween-welcome-to-grandma-grandpa-haunted-house-cute-boo-
Evergreen	PFG	42	17	24.0	1	0	1	1	2	0	3	0	hello-fall-grandmas-pumpkin-patch-2layered-wooden-plaque-coz
Evergreen	PFG	42	21	24.0	1	0	1	1	2	0	3	0	cozy-warm-fall-season-vibe-little-pumpkins-welcome-to-grandm
Evergreen	PFG	42	11	24.0	1	0	1	1	2	0	3	0	grandmas-pumpkin-patch-scarecrow-2layered-wooden-plaque-hall
Evergreen	PFG	40	19	24.0	2	0	2	1	1	0	3	1	mimi-patriotic-shirt-american-flag-heart-mimi-t-shirt-for-wo
Evergreen	PFG	36	21	24.0	1	0	1	1	1	0	3	0	leopard-style-teacher-life-shirt-back-to-school-gift-for-tea
Trending	Macorner	57	19	31.95	1	0	1	3	3	1	3	0	custom-pet-portrait-name-watercolor-style-personalized-jewel
