product_url	concept_label	lead_domain	sum_countActive	distinct_sellers	max_days	top_started	price	countries	n_ad_records
https://wanderprints.com/products/dad-every-poo-i-do-personalized-mug-tr240nah3414	dad every poo i do personalized mug	great-family-shop.myshopify.com	1	1	819	2024-05-07	21.95	US,AU,CA	1
https://wanderprints.com/products/a-man-and-his-dog-a-bond-that-cant-be-broken-personalized-window-hanging-suncatcher-ornament-ta388hal2221	a man and his dog a bond that	great-family-shop.myshopify.com	2	1	816	2024-05-10	22.95	AU,CA,US	1
https://wanderprints.com/products/paws-and-human-hand-fist-bump-best-cat-dad-ever-3d-inflated-effect-printed-mug-personalized-white-edge-to-edge-mug-nn457hel1096	paws and human hand fist bump best cat	great-family-shop.myshopify.com	1	1	816	2024-05-10	22.95	AU,CA,US	1
https://wanderprints.com/products/vintage-map-papa-title-birthday-loving-gift-for-dad-father-papa-grandpa-grandfather-personalized-custom-t-shirt	vintage map papa title birthday loving gift for	great-family-shop.myshopify.com	1	1	815	2024-05-11	24.99	CA,AU,US	1
https://wanderprints.com/products/custom-photo-drive-safe-daddy-birthday-loving-gift-for-dad-father-papa-grandpa-personalized-acrylic-car-hanger	custom photo drive safe daddy birthday loving gift	great-family-shop.myshopify.com	2	1	815	2024-05-11	19.95	CA,AU,US	1
https://wanderprints.com/products/kids-holding-dads-hand-best-papa-ever-gift-for-father-papa-grandpa-personalized-polo-shirt	kids holding dads hand best papa ever gift	great-family-shop.myshopify.com	1	1	812	2024-05-14	29.95	US,CA,AU	1
https://wanderprints.com/products/custom-photo-im-always-with-you-memorial-personalized-window-hanging-suncatcher-ornament-ak1130nah3436	custom photo im always with you memorial personalized	great-family-shop.myshopify.com	1	1	812	2024-05-14	22.95	AU,CA,US	1
https://wanderprints.com/products/memorial-always-with-you-personalized-window-hanging-suncatcher-ornament-gt481nel2311	memorial always with you personalized window hanging suncatcher	great-family-shop.myshopify.com	1	1	805	2024-05-21	22.95	US,AU,CA	1
https://wanderprints.com/products/dads-reasons-to-drink-personalized-pint-glass-at1247dil803	dads reasons to drink personalized pint glass	great-family-shop.myshopify.com	1	1	805	2024-05-21	25.95	CA,AU,US	1
https://wanderprints.com/kk896dil818	shortcode:kk896dil818	great-family-shop.myshopify.com	1	1	803	2024-05-23	29.95	AU,CA,US	1
https://wanderprints.com/products/backside-the-only-thing-better-is-watching-you-being-a-dad-personalized-mug-ts462hal2342	backside the only thing better is watching you	great-family-shop.myshopify.com	1	1	801	2024-05-25	21.95	CA,US	1
https://wanderprints.com/products/mom-grandma-kids-butterflies-leopard-pattern-gift-for-mother-grandmother-personalized-womens-sleep-tee	mom grandma kids butterflies leopard pattern gift for	wanderprints(backend-unindexed)	2	1	775	2024-06-20		AU,CA,US	1
https://wanderprints.com/products/together-since-husband-wife-couple-gift-personalized-custom-pillow	together since husband wife couple gift personalized custom	wanderprints(backend-unindexed)	2	1	775	2024-06-20		US,CA,AU,NZ	1
https://wanderprints.com/products/besties-friends-sitting-on-the-moon-personalized-window-hanging-suncatcher-ornament-fl557dil973	besties friends sitting on the moon personalized window	great-family-shop.myshopify.com	7	1	749	2024-07-16	26.95	CA,US,AU	3
